epoch, d_loss, g_loss, val_loss
1, 1.6913, 13.8310, 14.4218
2, 1.7737, 16.7747, 13.8828
3, 1.7198, 22.3897, 12.9278
4, 1.8433, 17.1728, 14.7037
5, 1.7458, 10.2544, 13.0027
6, 2.0395, 17.9236, 15.8324
7, 2.0093, 10.2208, 11.9981
8, 1.9621, 9.5844, 13.1874
9, 1.4276, 23.8331, 11.9652
10, 1.8155, 14.4597, 11.5333
11, 1.4941, 14.5376, 11.6494
12, 1.7819, 19.4514, 11.9485
13, 1.8282, 10.9176, 11.8769
14, 1.5834, 12.4226, 11.3666
15, 2.0441, 16.0032, 12.7484
16, 2.3060, 8.8367, 10.4020
17, 2.4471, 11.6938, 11.0126
18, 1.9298, 11.1260, 11.2202
19, 2.1048, 11.8622, 12.0594
20, 1.8465, 16.8950, 10.7615
21, 2.0451, 10.2568, 9.7594
22, 2.0249, 13.8301, 10.4020
23, 1.5350, 11.7689, 10.5493
24, 2.0992, 10.8759, 11.2839
25, 2.0181, 10.1190, 9.7647
26, 1.9452, 10.6381, 11.8682
27, 1.5734, 8.2133, 9.6755
28, 1.9497, 13.3923, 9.6088
29, 1.6687, 8.9344, 10.4786
30, 1.4630, 16.0844, 10.7026
31, 1.5516, 17.5002, 11.5993
32, 1.2417, 16.8783, 11.7840
33, 1.7117, 8.0858, 10.6576
34, 1.6738, 5.8883, 9.3201
35, 1.7740, 10.9365, 10.0254
36, 1.5692, 8.4954, 10.1393
37, 1.9752, 7.9614, 9.7340
38, 1.7415, 10.8890, 11.6775
39, 1.7322, 8.6754, 9.4786
40, 1.8410, 6.6798, 9.210
41, 1.2588, 16.6340, 9.0152
42, 1.4042, 8.1718, 10.9731
43, 1.5824, 16.3423, 8.7646
44, 1.8085, 8.6846, 8.8435
45, 1.4660, 14.7529, 9.1239
46, 1.6108, 9.8695, 8.9747
47, 1.5740, 13.7558, 10.1008
48, 1.6516, 7.6371, 10.5379
49, 1.5560, 8.6190, 9.3782
50, 1.6832, 15.7373, 10.9669
51, 1.4598, 8.4622, 9.3450
52, 1.2413, 18.0928, 10.9024
53, 1.4395, 12.6452, 9.9511
54, 1.4218, 10.0981, 10.0152
55, 1.6556, 12.8712, 9.340
56, 1.7701, 6.7376, 10.6352
57, 1.6744, 7.3212, 8.8210
58, 1.5669, 7.0987, 9.5221
59, 1.9081, 9.3764, 9.2780
60, 1.6002, 11.1730, 9.2690
61, 1.8486, 9.9352, 11.0272
62, 1.4782, 18.6755, 12.2043
63, 1.2400, 8.0371, 11.7228
64, 1.4222, 7.3064, 8.8225
65, 1.4015, 9.3607, 9.5847
66, 1.1794, 7.2556, 9.0706
67, 2.0652, 11.2174, 9.7724
68, 1.9878, 8.9696, 9.5099
69, 1.4077, 6.6483, 8.6134
70, 2.1168, 9.9401, 9.7722
71, 1.4486, 9.4244, 10.7540
72, 1.4128, 6.5150, 9.0525
73, 1.4396, 6.2897, 8.9588
74, 1.3480, 6.9564, 8.5577
75, 1.2716, 7.0402, 9.3080
76, 1.5453, 5.8713, 8.4976
77, 1.3541, 11.0563, 9.0129
78, 1.2522, 7.0270, 8.4400
79, 1.6940, 8.0749, 10.0955
80, 1.2508, 8.3150, 9.1060
81, 1.9949, 9.9932, 10.1538
82, 1.7162, 10.1970, 10.8271
83, 1.7678, 7.9089, 9.6156
84, 1.4871, 6.3022, 8.7328
85, 1.4798, 5.4780, 8.8900
86, 1.5138, 6.5370, 9.1352
87, 1.7302, 11.2489, 14.4099
88, 1.7301, 7.4797, 9.9210
89, 1.5639, 10.8349, 11.5766
90, 1.2767, 6.1972, 9.1704
91, 1.5693, 7.8431, 9.0897
92, 1.4436, 16.2299, 8.7693
93, 1.3510, 6.9089, 9.4932
94, 1.6159, 14.4796, 8.7484
95, 1.5656, 6.4363, 8.5370
96, 1.4383, 8.4390, 8.8500
97, 1.5267, 8.1377, 8.9577
98, 1.1788, 9.2960, 11.1711
99, 1.6549, 5.4587, 8.6351
100, 1.3643, 8.8683, 10.4519